,Comment,Emotion
0,seriously hate one subject death feel reluctant drop,fear
1,im full life feel appalled,anger
2,sit write start dig feelings think afraid accept possibility might make,fear
3,ive really angry r feel like idiot trusting first place,joy
4,feel suspicious one outside like rapture happened something,fear
5,feel jealous becasue wanted kind love true connection two souls wanted,anger
6,friend mine keeps telling morbid things happened dog,anger
7,finally fell asleep feeling angry useless still full anxiety,anger
8,feel bit annoyed antsy good way,anger
9,feel like regained another vital part life living,joy
10,feel bit like franz liebkind producers many people know fuhrer terrific dancer,joy
11,feeling start didnt want move much really glad experience glimpse sort vibrant energy gain year,joy
12,bitten dog,fear
13,always find feeling thankful years gathered tricks allow feel grateful face moments last thing want say thanks,joy
14,try talk anyone feel irritable like,anger
15,feel like hated since,anger
16,dont know wrote following little note feel today u r offended following posting obviously lived long enough compromised act believe,anger
17,feel offended choose tell guys feel treated guys friends would want put stop nonsense,anger
18,remember feeling belong smart enough cool enough even young enough,joy
19,feel like redeem even though think realized distraught ok,fear
20,hope next quote able let special someone knows im feeling insecure understand matter much trust,fear
21,feel much better without help ice,joy
22,sitting typing wondering belong feeling distracted feeling comfortable feeling misunderstood hurt,anger
23,still feel little shaky times move slightly odd jades hair particular seems prone generally works well spencers writing,fear
24,stropped bit feeling grumpy missing,anger
25,feeling shall go mad,anger
26,happpy get good results field academics athletics,joy
27,got feeling brig sincere strong desire help others become successful financially also building strengthening relationships christianity,joy
28,im feeling deeply overwhelmed ordinary tasks,fear
29,feel grouchy irritable im sick,anger
30,feel heart shaky time,fear
31,expect feel content,joy
32,feel amused absurdity,joy
33,end getting unwanted attention boys want little ill sort starting something boy find flirtiing others presence ill feel really insincere around boys like,anger
34,couldnt help feeling little bit bitter towards great big happy grin,anger
35,go back point easy sell getting folk feel really virtuous dont want anyway,joy
36,im feeling bit sociable although dont think ill able express everything want say,joy
37,would feel joyful,joy
38,certain situation felt neglected undeservedly harmed,anger
39,felt good feel fine today,joy
40,looked happened us two generations looked happened two three instead feeling outraged history aggression felt privileged,anger
41,im feeling slightly optimistic,joy
42,feel hateful hollow yes hear many smiths days,anger
43,im still feeling indecisive im polling yall p,fear
44,sometime back another girl terms exboyfriend came shout twelve midnight thought still interested boy,anger
45,id start feeling resentful lived part country sun stubbornly refuses show end september,anger
46,feel fucked days,anger
47,confess feeling nervous made way event venue,fear
48,really worried would feel intimidated monica met morning incredibly welcoming made feel relaxed straight away,fear
49,sick cold amp feeling well wondering would even able patience go whitleys month photo shoot,joy
50,feel like bit obnoxious picture posting,anger
51,feel morally outraged furious often like,anger
52,feel pissed friend didnt offer soda,anger
53,feel hearts treading dangerous territory,anger
54,feel frightened,fear
55,know pleasant feel selfish saying think would fallen apart,anger
56,feel shafted greedy,anger
57,crappy week still feeling agitated like day wanted,fear
58,feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger
59,feel reluctant leave alone like without helping enough repay goodness,fear
60,ashamed feel like moment see terrified crying children dead ones,fear
61,wake morning voice throat feels ok afternoon scratchy sound like marge simpson night bad throat sore whisper,joy
62,ive always nervous something like feel like really talented enter something official contest,joy
63,feel bit pissed went first,anger
64,feel satisfied knowing dirt hair longer car house,joy
65,really like special edition really feel special songs,joy
66,would accept gift without feeling mad,anger
67,feel hesitant since experience programming,fear
68,feeling particularly bitchy dont think adequately expressed appreciation,anger
69,feel confused,fear
